url,name,website,socials,email,address,contact,description,years_active,staff,awards
https://architectdirectory.co.uk/practice/archio-ltd,Archio Ltd,https://www.archio.co.uk/,"[""https://twitter.com/@archio_ltd"", ""https://instagram.com/archio_ltd""]",info@archio.co.uk,"Unit B107, Lighthouse Studios, 89a Shacklewell Lane, London, E8 2EB",Kyle Buchanan + Mellis Haward,"At Archio, we imagine a better quality of life for everyone. We think that access to decent homes, buildings and spaces provides the foundation to help us grow as individuals and as communities. We were founded with a mindset that design should be used to tackle major societal challenges. We seek out opportunities to progressively shape a better, more sustainable and more inclusive world for now, and for future generations. We listen and respond to the everyday issues people face in their neighbourhoods, because we recognise that good design can have a transformative impact on physical and emotional health. We believe that regeneration is most effective when design teams, councils and local communities co-produce visionary approaches that enrich lives. We are focused on working with purpose-led clients who have a long-term interest in the vitality of the communities they operate in. This approach has developed into a specialism of working with local authority regeneration companies, housing associations, select private developers and community-led organisations. Address Unit B107, Lighthouse Studios, 89a Shacklewell Lane, London, E8 2EB Contact Kyle Buchanan + Mellis Haward Twitter @archio_ltd Instagram archio_ltd",9,5 - 19,[]
https://architectdirectory.co.uk/practice/architect-live,Architect Live,http://www.architecturelive.co.uk/,[],info@architecturelive.co.uk,"Tall Trees, The Cylinders, Haslemere, GU27 3EL",Irene Konschill,"We are a collaborative team of RIBA Chartered architects and deliver innovative and unique living, learning and working environments that complement our clients’ personalities and wellbeing. Address Tall Trees, The Cylinders, Haslemere, GU27 3EL Contact Irene Konschill",14,0 - 4,[]
https://architectdirectory.co.uk/practice/architectonic-design,Architectonic Design,http://www.architectonicdesign.co.uk/,[],hello@architectonicdesign.co.uk,"11 Oldgate, Hebden Bridge, HX7 6EN",Jacqueline Milham,"We are a small architectural practice based in Hebden Bridge, West Yorkshire. we specialise in providing clients with creative design solutions which respond to both their requirements and the possibilities of the site to create unique and uplifting buildings. Address 11 Oldgate, Hebden Bridge, HX7 6EN Contact Jacqueline Milham",13,0 - 4,[]
https://architectdirectory.co.uk/practice/architects-dyer,Architects Dyer,https://www.architectsdyer.com/,[],,"105 High Street, Evesham, WR11 4EB",,"Architects Dyer is a RIBA-chartered architectural studio committed to innovative, sustainable, responsive design. We specialise in energy-efficient, low-carbon buildings which improve the comfort and wellbeing or their users. Address 105 High Street, Evesham, WR11 4EB",8,0 - 4,[]
https://architectdirectory.co.uk/practice/architects-group,Architects Group,https://www.architects-group.com/,[],,,,"Quality design has the ability to enhance people’s lives. Whether at work, rest or play, quality design impacts on the culture and climate of place, improving lifestyles and often acting as a stimulus for regeneration. Understanding both the positive and negative impacts of design allows us to inform the persona of a development, influencing its structural skeleton and anatomy of services, as well as its external appearance and the symbiotic relationship with its surroundings. Addresses 9 Java Wharf, Shad Thames, SE1 2YH Chapel House, City Road, Chester, CH1 3AE Unit 2.11, Creative Quarter, Cardiff, CF10 1AF",,5 - 19,[]
https://architectdirectory.co.uk/practice/architects-in-practice,Architects In Practice,https://architectsinpractice.com/,"[""https://instagram.com/https://www.instagram.com/architectsinpractice/""]",hello@architectsinpractice.com,"1 Green Bank Studios, London, E1W 2PA",Ian Givin,"We are progressive yet pragmatic, we understand the importance of creating buildings that are both beautiful and functional, and all of our projects are sensitive to our clients' needs and rooted in extensive research. We are passionate about what we build as well as how we build, and we work with like-minded people to promote and execute ideas that have a positive impact on the buildings and spaces we work with. This, we believe, comes about through client collaboration, building innovation and environmental awareness. Simply put, we love our work, have fun doing it and are proud of what we do. Address 1 Green Bank Studios, London, E1W 2PA Contact Ian Givin Instagram https://www.instagram.com/architectsinpractice/",5,5 - 19,[]
https://architectdirectory.co.uk/practice/architects-of-invention,Architects Of Invention,https://www.architectsofinvention.com/,"[""https://twitter.com/@archinvent"", ""https://instagram.com/architectsofinvention""]",office@architectsofinvention.com,"Studio 1, 5a Priory Grove, London, SW8 1PD",Jill Layton,"Architects of Invention (AI) is an award-winning international partnership practicing contemporary architecture, urbanism, and design led by Nikoloz Japaridze. To accommodate a range of projects throughout the world, AI maintains offices in London and Tbilisi. Since it's establishment in 2010, AI has completed 13 buildings and produced more than 150 projects and collaborations. Address Studio 1, 5a Priory Grove, London, SW8 1PD Contact Jill Layton Twitter @archinvent Instagram architectsofinvention",14,5 - 19,[]
https://architectdirectory.co.uk/practice/architects-plus-uk,Architects Plus Uk,http://www.architectsplus.co.uk/,[],ap@architectsplus.co.uk,"Victoria Galleries, Viaduct House, Victoria Viaduct, Carlisle, Cumbria, CA3 8AN",Iain Judd,"Our shared vision across Architects Plus is to produce beautiful, purposeful and timeless buildings that are sustainable and inclusive. We are a proud forward-looking Cumbrian company who have become one of the region’s most progressive and successful practices, with an established reputation for practical, sustainable, and beautifully crafted buildings. We continue to evolve our practice and use our decades of experience and knowledge in new build, retrofit and refurbishment projects across a wide variety of sectors to meet the changing needs of our clients and address the climate challenges ahead. Address Victoria Galleries, Viaduct House, Victoria Viaduct, Carlisle, Cumbria, CA3 8AN Contact Iain Judd",35,5 - 19,[]
https://architectdirectory.co.uk/practice/architectural-design,Architectural Design,http://www.adlarchitects.co.uk/,[],adl@adlarchitects.co.uk,"Oldfield Dell, Oldfield Road, Windermere, LA23 2BY",David Fletcher,"Architectural Design Limited is a well established practice based in Windermere reputed for high quality design, pioneering sustainable solutions and collaborative approach. Through our wealth of knowledge and expertise combined with an innovative and considered approach to design, we are able to deliver unique, practical and effective design solution to any project – traditional or contemporary. Address Oldfield Dell, Oldfield Road, Windermere, LA23 2BY Contact David Fletcher",39,0 - 4,[]
https://architectdirectory.co.uk/practice/architectural-emporium,Architectural Emporium,https://www.architectural-emporium.co.uk/,[],mail@architectural-emporium.co.uk,"87 Kempston Street, Liverpool, L3 8HE",Toby Wallis,"Although AE’s interventions are unique and bespoke to each site and the client’s requirements, it is possible to detect some underlying themes common in the portfolio, such as: simple legible forms; context driven sensitive proposals; structures and components re-described and recycled; sustainable and efficient arrangements; thoughtful and inventive enveloping; innovative use of affordable materials; consideration of interiors and furniture as integral; careful and sophisticated detailing. Address 87 Kempston Street, Liverpool, L3 8HE Contact Toby Wallis",14,5 - 19,[]
https://architectdirectory.co.uk/practice/architecture-for-london,Architecture For London,https://architectureforlondon.com/,"[""https://twitter.com/AFL_tweet"", ""https://instagram.com/architectureforlondon""]",mail@architectureforlondon.com,,Ben Ridley,"We are award-winning London architects dedicated to the creation of inspirational architecture and interiors. We find solutions to the critical questions facing the city today: how can we build net-zero carbon housing in London, what makes our workplaces fit for the 21st century, and how should we reinvigorate our public spaces so that they engage and excite? Our holistic design, engineering and construction service ensures that each project meets the exacting requirements of our Healthy Homes approach. We aim for net-zero carbon to create exceptional homes that provide the best possible backdrop for a sustainable, fulfilling and enjoyable urban life. Our contextual approach draws inspiration from the rich urban fabric of London. Hierarchy, proportion, generous volumes and tall windows are as important to our affection for the city in the 21st century as they were in the 19th century. We add value through exemplary design to create homes that Londoners deserve. Address 3-5 Bleeding Heart Yard, London, EC1N 8SJ Contact Ben Ridley Twitter AFL_tweet Instagram architectureforlondon",13,5 - 19,[]
https://architectdirectory.co.uk/practice/architecture-initiative,Architecture Initiative,https://www.architectureinitiative.com/,"[""https://twitter.com/@weareaiLDN"", ""https://instagram.com/architectureinitiative""]",INFO@ARCHITECTUREINITIATIVE.COM,"4 John Prince's Street, London, W1G 0JL",Lee Mainwaring,"Our team is united by a genuine sense of social and economic purpose. At the forefront of architecture, technology, culture, behaviour and design, we AMPLIFY ARCHITECTURE to create places that not only realise potential for our clients and partners, but significantly enhance people’s lives. Address 4 John Prince's Street, London, W1G 0JL Contact Lee Mainwaring Twitter @weareaiLDN Instagram architectureinitiative",8,5 - 19,[]
https://architectdirectory.co.uk/practice/architecture-m,Architecture M,http://www.architecturem.co.uk/,[],mail@architecturem.co.uk,"Moravian College, 14 Fairfield Square, Droylsden, Manchester, M43 6AD",Mark Percival,"architecture:m is a growing, dynamic and creative architectural studio whose philosophy is to delight clients by delivering innovative and comprehensive design solutions. design, being the cornerstone of the company’s philosophy, is achieved by fully understanding the client’s needs, being sympathetic to the environment and the guarantee that the most appropriate solution is reached. Address Moravian College, 14 Fairfield Square, Droylsden, Manchester, M43 6AD Contact Mark Percival",,0 - 4,[]
https://architectdirectory.co.uk/practice/architecture-plb-ltd,Architecture Plb Ltd,http://architectureplb.com/,"[""https://twitter.com/@ArchitecturePLB"", ""https://instagram.com/architectureplb""]",paulconway@architectureplb.com,,Nicholas Mirchandani,"ArchitecturePLB is a design-led practice with offices in Winchester and London. We have a diverse portfolio including projects of all sizes and types. Our approach is to listen to our clients in order to develop richer, more meaningful briefs as the basis for innovative design solutions and buildings that enrich the lives of the people who use them. Winner of the Architects' Journal Employer of the Year award two years running, our team of creative individuals is key to the success of the practice and our service to our clients. Addresses 50 Southwark Street, London, SE1 1UN First Floor, Sunley House, 46 Jewry Street, Winchester, SO23 8RY Contact Nicholas Mirchandani Twitter @ArchitecturePLB Instagram architectureplb",49,20 - 125,[]
https://architectdirectory.co.uk/practice/architecture-wk,Architecture Wk,https://www.architecturewk.com/,"[""https://twitter.com/@ArchitectureWK""]",studio@architecturewk.com,,Sam Kamleh,"We are a family run team of architects and designer, highly experienced in taking projects from initial designs to on site project administration. We are fluent in architectural and interior design and build services in south-east London – we work in collaboration with excellent, well vetted contractors. We are passionate about our work, and highly value our client relationships. We’d be delighted to speak to you about your project and see how we can help to make your house a beautifully designed home to suit your needs! Addresses The Powder Rooms, 69-71 Broad Street, Teddington, TW11 8QZ The Powder Rooms, 69-71 Broad Street, Teddington, London, TW11 8QZ Contact Sam Kamleh Twitter @ArchitectureWK",22,0 - 4,[]
https://architectdirectory.co.uk/practice/architecturedoingplace-llp,Architecturedoingplace Llp,https://www.architecturedoingplace.com/,"[""https://instagram.com/architecturedoingplace""]",info@architecturedoingplace.com,"71-75 Shelton Street, London, WC2H 9JQ",David Ogunmuyiwa,"Architecture Doing Place are an architecture and urban design practice, who aim to produce beautiful buildings and spatial interventions from our immersion in the arts and contemporary architecture. We are drawn to the palimpsest of place. Like us, this is a product of layers of heritage; Like us, this contributes productively to our current and future places. It seems logical to us that our projects share not only this purpose, but also a sensitivity and delight in an aspect of place commonly described by architects as ‘context’. We believe our contexts can be eloquent extensions of who we are. As individuals, as communities, as an inclusive society. We seek to nourish this idea in our projects, by applying what drew us to our vocation in the first place; The simple production of “… a good thing, well made”. Our methodology begins with a focus on the end users. Architectural work involves significant cost and resources and will typically endure in the world for years at a time. We try to be thoughtful about the wider impact of our work, including its implications for the city and all its citizens; ensuring always that we are “… giving the mundane its beautiful due”. Our design approach is marked by our investment of playfulness, wit, intelligence, respect, hard work, imagination and craft. We enjoy accompanying clients one step at a time, along this journey. Address 71-75 Shelton Street, London, WC2H 9JQ Contact David Ogunmuyiwa Instagram architecturedoingplace",5,0 - 4,[]
https://architectdirectory.co.uk/practice/architeh,Architeh,https://www.architeh.co.uk/,[],info@architeh.co.uk,"Bridge Chapel Centre, Heath Road, Liverpool, L19 4XR",Ernest Teh,"We are able to work with clients to formulate comprehensive briefing documents and are happy to advise on projects of any size. We are proud that our philosophy of building relationships with our clients has led to many repeat commissions over the years and we look forward to this continuing into the future. Address Bridge Chapel Centre, Heath Road, Liverpool, L19 4XR Contact Ernest Teh",8,0 - 4,[]
https://architectdirectory.co.uk/practice/architype-limited,Architype Limited,https://architype.co.uk/,"[""https://twitter.com/@ArchitypeUK"", ""https://instagram.com/architypeuk""]",london@architype.co.uk,,Benjamin Humphries,"Our radical approach combines beautiful Passivhaus design with technical excellence. We keep our promises about building performance and work holistically with clients to create award-winning inspirational and healthy environments. Our diverse and inclusive team of 68 is moving towards full employee ownership, with collaborative studios in Edinburgh, Hereford and London. Addresses The Sea Building, Great Suffolk Yard, 127-131 Great Suffolk Street, London, SE1 1PP Upper Twyford, Twyford, Hereford, HR2 8AD The Old Assembly Hall, 37 Constitution Street, Edinburgh, EH6 7BG Contact Benjamin Humphries Twitter @ArchitypeUK Instagram architypeuk",33,20 - 125,[]
https://architectdirectory.co.uk/practice/archmongers,Archmongers,https://www.archmongers.com/,"[""https://twitter.com/@Archmongers"", ""https://instagram.com/archmongers""]",mail@archmongers.com,"Unit J, 81 Curtain Road, London, EC2A 3AG",Margaret Bursa,"Archmongers is an award-winning London-based architectural studio founded by Margaret Bursa and Johan Hybschmann. We provide the complete design of buildings from feasibility to final details, before overseeing on-site construction to practical completion. We offer a fully integrated interior design service that complements the overarching architectural concept, delivering new builds through to fit-outs to a high level of quality and detail. We enjoy discovering the history of a space, and collaborating with clients through drawings, models, and conversation. Whether designing residences, retail spaces, or workplaces, we deliver spaces that balance aesthetics and function. Address Unit J, 81 Curtain Road, London, EC2A 3AG Contact Margaret Bursa Twitter @Archmongers Instagram archmongers",7,0 - 4,[]
https://architectdirectory.co.uk/practice/arco2-environmentally-informed-architecture,Arco2 Environmentally Informed Architecture,http://www.arco2.co.uk/,[],office@arco2.co.uk,"Arco2 House, Boundary Road, Dunmere, Bodmin, PL31 2RX",Ian Armstrong,"It’s a way of life. Inspired by the Cornish landscape, our sustainable buildings are designed with your health, comfort and well-being at their core. Address Arco2 House, Boundary Road, Dunmere, Bodmin, PL31 2RX Contact Ian Armstrong",20,5 - 19,[]
https://architectdirectory.co.uk/practice/arden-kitt-associates,Arden Kitt Associates,http://www.ardenkitt.co.uk/,[],enquiries@ardenkitt.co.uk,"7 Warren Drive, Caerphilly , CF83 1HQ",Christopher Brimble,"Sustainability is key to the practice ethos. We are constantly looking for new opportunities to work with clients who share our values of well designed environmentally conscious architecture. Our design philosophy is about making places and spaces that are people centered, with a focus on materiality and craftsmanship. We’d like to think our approach is both friendly and professional, and that our designs offer a little something extra. We are humble enough however, to know that this is not for us to judge. Address 7 Warren Drive, Caerphilly , CF83 1HQ Contact Christopher Brimble",17,0 - 4,[]
https://architectdirectory.co.uk/practice/argent-architects,Argent Architects,https://www.argent-architects.co.uk/,[],admin@argent-architects.co.uk,"1 Montrose, Penally, Tenby, Dyfed, SA70 7PU",Michael Argent,"AA are on a roll, with several interesting house projects in scenic locations. We also have hotel and care home projects on the go. Community and heritage designs include Tenby Surgery and an art gallery addition to Tenby Museum. Our ex RNLI Tenby Lifeboat House in Pembrokeshire was one of the most interesting projects in Wales at the time and featured on Kevin McCloud’s Channel 4 Grand Designs - combining modern contemporary design with conservation and enhancement of local heritage. We are particularly interested in (though not wedded to) post and beam technology for its sustainability and economy. The timber structure, when clearly expressed sets rhythm and human scale. It is also flexible and offers almost endless spacial possibilities along with the means to exploit awkward sites without massive retaining walls. Address 1 Montrose, Penally, Tenby, Dyfed, SA70 7PU Contact Michael Argent",70,0 - 4,[]
https://architectdirectory.co.uk/practice/arigho-larmour-wheeler-architects,Arigho Larmour Wheeler Architects,http://www.alwarchitects.com/,[],info@alwarchitects.com,"661a Lisburn Road, Belfast, BT9 7GT",Jane Larmour,"Arigho Larmour Wheeler Architects is a design led RIAI and RIBA/RSUA Chartered practice with studios in Belfast and Dublin. We are committed to finding creative yet pragmatic design solutions that add beauty and value. Address 661a Lisburn Road, Belfast, BT9 7GT Contact Jane Larmour",7,5 - 19,[]
https://architectdirectory.co.uk/practice/ark-architects,Ark Architects,https://www.ark-uk.co.uk/,[],info@ark-uk.co.uk,"Studio 10: Nuttingtons, Leckhampstead, Newbury, RG20 8QL",Lee Battersby,"We believe that the design process should be a shared experience and this forms a principle part of our relationship with our clients, colleagues and everyone working on the project. Address Studio 10: Nuttingtons, Leckhampstead, Newbury, RG20 8QL Contact Lee Battersby",18,0 - 4,[]
https://architectdirectory.co.uk/practice/arkhi-architects,Arkhi Architects,http://www.arkhi.co.uk/,[],hi@arkhi.co.uk,"The Sorting House, 6 Mill Street, Congleton, CW12 4BA",Matthew Lewis,"Designing for a Better Life: Arkhi's Modern Architecture Vision. With a focus on custom and bespoke designs, we have been delivering exceptional new-build homes, barn conversions, and extension transformations to private clients for many years. Our goal is to enrich the way people interact with the spaces they spend the most time in, creating truly personalised living environments. At Arkhi, we believe in building wealth through property, one beautifully designed space at a time. Address The Sorting House, 6 Mill Street, Congleton, CW12 4BA Contact Matthew Lewis",13,0 - 4,[]
https://architectdirectory.co.uk/practice/arkleboyce-architects,Arkleboyce Architects,http://www.arkleboyce.co.uk/,[],info@arkleboyce.co.uk,,Graham Boyce,"Since 2015, ArkleBoyce (we) have delivered design-led, client-focused architectural solutions for a whole range of clients. From one-off private residencies to commercial developments. Masterplans to urban regenerations. It’s not the size of a project that inspires us, but the opportunity to create something special. Addresses Studio 9, Matthew Murray House, 97 Water Lane, Holbeck, Leeds, LS11 5QN Reeds Wharf, 33 Mill Street, London, SE1 2AX Contact Graham Boyce",8,5 - 19,[]
https://architectdirectory.co.uk/practice/armstrong-simmonds-architects,Armstrong Simmonds Architects,https://www.as-architects.co.uk/,"[""https://twitter.com/@asarchitects2""]",projects@as-architects.co.uk,"Unit 23, Battersea Business Centre, 99-109 Lavender Hill, London, SW11 5QL",John Armstrong,"Armstrong Simmonds Architects are an award-winning architectural practice based in Clapham, South-West London. We apply innovative architectural solutions to meet the specific needs of our clients and achieve exceptional results. As RIBA Chartered Architects, we understand the need for creative design, methodical planning, and timely project execution. We provide the full spectrum of services covering all RIBA work stages including Surveying, Briefing, Scheme Design, 3D Modelling, Planning, Building Control, Detailing, Tendering, Contract Administration, and Interior Design. The types of building projects we pride ourselves on include high-end residential design, new build apartments and houses, basements, extensions, loft conversions and multi-unit residential properties. Address Unit 23, Battersea Business Centre, 99-109 Lavender Hill, London, SW11 5QL Contact John Armstrong Twitter @asarchitects2",10,0 - 4,[]
https://architectdirectory.co.uk/practice/arney-fender-katsalidis,Arney Fender Katsalidis,http://www.afkstudios.com,"[""https://twitter.com/@AFK_studios"", ""https://instagram.com/afk_studios""]",hello@afkstudios.com,"Level 1, 44-46 Scrutton Street, London, EC2A 4HH",Graeme Rapley,"Arney Fender Katsalidis creates inspiring places and spaces for people to live, work and play better. We are a boutique global design firm with an integrated approach to architecture and interiors. Arney Fender Katsalidis was founded in 2013, while our sister studio, Fender Katsalidis, was founded in 1988 - together we have over a quarter century of collective award-winning experience. We are young at heart and nimble of mind and have a specific focus on workplace, residential and cultural sectors to ensure we are specialists in what we do. We strive to deliver the world’s best projects and have built a reputation for exceptional client service and design excellence. We purposefully focus the size of our firm to create rich ground for fostering deep client relationships and to ensure the accessibility of our Directors to every project. This continuous connectivity of Directors throughout the life of our projects, is a fundamental platform on which our firm is built. Address Level 1, 44-46 Scrutton Street, London, EC2A 4HH Contact Graeme Rapley Twitter @AFK_studios Instagram afk_studios",32,20 - 125,[]
https://architectdirectory.co.uk/practice/aros-architects,Aros Architects,https://arosarchitects.com/,"[""https://instagram.com/arosarchitects""]",info@arosarchitects.com,"Jerwood Space, 171 Union Street, London, SE1 0LN",Darren Rufford,"Aros produces architecture that works. It works for clients, for users, for the environment, for passers-by and the community. Our aim is to add value, and as designers we aim to produce architecture of value, too. There are no preconceptions, no pre-determined ideas, no signature style. Since day one, in 2001, our solutions for new homes, workplaces and hotels have responded to the unique combination of client, context and purpose. That approach is proving successful. Buildings are best judged in-use, and our clients keep coming back. Address Jerwood Space, 171 Union Street, London, SE1 0LN Contact Darren Rufford Instagram arosarchitects",20,5 - 19,[]
https://architectdirectory.co.uk/practice/artel31,Artel31,http://www.artel31.co.uk/,"[""https://instagram.com/@_artel31""]",office@artel31.co.uk,"5 Union Road, Chippenham, SN15 1HW",Richard Charles-Jones,"We are a collection of young designers, builders and creators spread across our studio and construction teams, working together to create remarkable buildings and landscapes. As a team, we are passionate about; design, construction, environment, sustainability, biodiversity, non-profit, social justice & most importantly – happiness! Address 5 Union Road, Chippenham, SN15 1HW Contact Richard Charles-Jones Instagram @_artel31",20,5 - 19,[]
https://architectdirectory.co.uk/practice/artform-architects,Artform Architects,https://www.artformarchitects.com/,[],info@artformarchitects.com,"XYZ Building, 1st Floor, 2 Hardman Boulevard, Manchester, M3 3AQ",Simon Jewell,"Artform Architects is an award-winning Manchester based practice that provides a high quality, personalised service for a variety of building types. We are inspired by how good design can fundamentally improve the way people live and work, whether on a domestic scale or with larger commercial projects. Established by Jason and Simon in 2014, Artform is an emerging practice with a growing reputation for providing creative and bespoke solutions to challenging client briefs, offering a full range of architectural services from concept design to completion. Address XYZ Building, 1st Floor, 2 Hardman Boulevard, Manchester, M3 3AQ Contact Simon Jewell",9,0 - 4,[]
https://architectdirectory.co.uk/practice/arthur-architects,Arthur Architects,http://www.arthur-architects.com,[],design@arthur-architects.com,,William Arthur,"Arthur Architects seek to develop intelligent solutions to the complexities of the 21st century. We offer services to individual home owners, builders, residential and mixed-use developers, plus office, sport, leisure, education and healthcare operators in both private and public sectors. We are a multidisciplinary consultancy practice with Architects, Structural Engineers, Party Wall Surveyors, CDM Principal Designers and Project Managers. Projects range from master planning, new buildings, refurbishment, relocations, extensions, basements, conservation and Restoration work including Listed buildings. Addresses 84 Manor Grove, Richmond, Surrey, TW9 4QF Cornerstone, St Boniface Road, Ventnor, PO38 1PL Contact William Arthur",19,0 - 4,[]
https://architectdirectory.co.uk/practice/arts-architecture-international,Arts Architecture International,http://www.artsarchitecture.com/,[],dwright@artsarchitecture.com,"68 Bower Mount Road, Maidstone, ME16 8AT",David Wright,"As well as designing new buildings and spaces, we are very experienced in working with existing structures, many of them listed or in historic settings. We start by immersing ourselves in the site and its immediate environment, to inform the design approach that will evolve. In the case of historic buildings and conservation areas, we will also carry out historical research to establish a sense of how the site has evolved through time. Address 68 Bower Mount Road, Maidstone, ME16 8AT Contact David Wright",18,0 - 4,[]
https://architectdirectory.co.uk/practice/arturus-architects,Arturus Architects,https://www.arturus.co.uk/,[],mailbox@arturus.co.uk,"Brentwood, 48 Eastfield, Westbury on Trym, Bristol, BS9 4BE",Robert Guy,"Arturus Architects is an architectural practice based in Bristol with a history dating back to 1946. The practice has specialist skills in Healthcare, Education, Residential, Sports and Leisure projects. Arturus Architects are committed to giving a first class, friendly and professional service no matter what the size of project. We value excellence in design, sensitivity in environmental matters and attention to detail. We are enthusiastic and collaborative in our working methods and put the requirements of our clients first. Address Brentwood, 48 Eastfield, Westbury on Trym, Bristol, BS9 4BE Contact Robert Guy",77,5 - 19,[]
https://architectdirectory.co.uk/practice/arup-associates,Arup Associates,https://www.arup.com/expertise/services/buildings/architecture,"[""https://twitter.com/@ArupGroup"", ""https://instagram.com/arupgroup""]",london@arup.com,"8 Fitzroy Street, London, W1T 4BJ",Joanne Wright,"We design buildings and places that are purposeful, simple, efficient and beautiful. Great architecture always starts with people. It’s something that’s guided us for more than 50 years, based on our ethos of ‘Total Architecture’ to shape a better world through buildings, places and spaces for people to experience and enjoy every day. Arup is a diverse, technical and highly creative community, united by our shared aims and values. Our clients benefit from the insights of our master-planners, engineers, acousticians, lighting designers, fire experts, sustainability managers, MEP teams, digital developers and many more. This ‘total architecture’ approach improves each design, resulting in more sustainable, resilient, intelligent and robust outcomes. Address 8 Fitzroy Street, London, W1T 4BJ Contact Joanne Wright Twitter @ArupGroup Instagram arupgroup",74,125 +,[]
https://architectdirectory.co.uk/practice/ash-sakula,Ash Sakula,https://www.ashsak.com/,"[""https://twitter.com/@ashsakula"", ""https://instagram.com/ashsakulaarchitects""]",Info@ashsak.com,"6 Doughty Mews, London, WC1N 2PG",Cany Ash,"Ash Sakula is a thought-leading architectural studio, based in central London. We specialize in working with challenging sites and complex briefs, where our fresh thinking and inventive design can most benefit our clients and those who use the places we make. Our work has won many awards and is widely published in Britain and abroad. Tucked into an old London mews, Ash Sakula’s studio is a former stable that opens up like a box of tricks. It is a place to conjure up architecture, a place to be pioneering, agile and energetic. Surfing the before-during-and-after cycles of architecture, we toggle nimbly between new digital platforms and older disciplines of architectural craft, between static and moving images and between different scales, from zoomed-in details to the broad sweep of a city-centre masterplan. Address 6 Doughty Mews, London, WC1N 2PG Contact Cany Ash Twitter @ashsakula Instagram ashsakulaarchitects",26,5 - 19,[]
https://architectdirectory.co.uk/practice/ashleigh-clarke-architects,Ashleigh Clarke Architects,http://www.ashleighclarkearchitects.com/,"[""https://twitter.com/https://twitter.com/AC_Architects_"", ""https://instagram.com/https://www.instagram.com/ashleigh_clarke_architects/""]",info@ashleighclarkearchitects.com,"Cotswold Business Centre, 2 A P Ellis Road, Upper Rissington, Cheltenham, GL54 2QB",Ashleigh Clarke,"With over 10 years’ experience within the local area, we are trusted Cotswold architects and a RIBA Chartered architectural practice. Many of our luxury projects have been inspired by the beautiful surrounding Cotswolds landscape: its colours, contours and light. As so many of our clients live in Areas of Outstanding Natural Beauty (AONB), we have built up extensive experience in obtaining Planning Permissions for Listed Buildings and properties situated within the AONB. We understand the ins and outs of the planning application process, and specialist permissions required, and we can guide you confidently through each stage. Address Cotswold Business Centre, 2 A P Ellis Road, Upper Rissington, Cheltenham, GL54 2QB Contact Ashleigh Clarke Twitter https://twitter.com/AC_Architects_ Instagram https://www.instagram.com/ashleigh_clarke_architects/",7,0 - 4,[]
https://architectdirectory.co.uk/practice/ashman-architects,Ashman Architects,https://www.ashmanarchitects.com/,"[""https://twitter.com/@AshmanArchitect"", ""https://instagram.com/ashman_architects""]",studio@ashmanarchitects.com,,Roger Ashman,"Founded by award-winning sustainability designer Roger Ashman, Ashman Architects provides responsive architectural services to assist private clients and estate owners in unlocking the full potential of their land and assets. Our work includes exquisite new-build homes across the home counties, strategic rural diversification in Berkshire and Lincolnshire and commercial estate regeneration in the heart of London. Through a thorough appraisal process and a considered design approach, our team share a principle of enriching places through site-inspired architecture. Addresses 5A Maltings Place, Tower Bridge Road, London, SE1 3JB 32B Thorpe Wood, Peterborough, PE3 6SR Contact Roger Ashman Twitter @AshmanArchitect Instagram ashman_architects",6,0 - 4,[]
https://architectdirectory.co.uk/practice/ashton-porter-architects,Ashton Porter Architects,http://www.ashtonporter.com,"[""https://instagram.com/ashtonporterarchitects""]",enquiries@ashtonporter.com,"The Studio, 11 Second Avenue, Bush Hill Park, Middlesex, EN1 1BT",Andrew Porter,"The studio makes innovative and inventive contemporary architecture across a variety of sectors and scales. Projects range from small scale residential additions and new build houses through to cultural foundations and corporate headquarters. The practice also undertakes funded government research as well as experimental research through international competitions projects. All UK projects are managed in house from concept through to site completion. There is a strong focus on design innovation and project are highly crafted with careful attention to detail, using contemporary materials and fabrication. Address The Studio, 11 Second Avenue, Bush Hill Park, Middlesex, EN1 1BT Contact Andrew Porter Instagram ashtonporterarchitects",26,0 - 4,[]
https://architectdirectory.co.uk/practice/ashworth-parkes-architects,Ashworth Parkes Architects,https://ashworthparkes.co.uk/,[],office@ashworthparkes.co.uk,"Unit F, Dales Brewery, Gwydir Street, Cambridge, CB1 2LJ",Jeremy Ashworth,"Ashworth Parkes Architects is an award-winning design studio based in Cambridge. Focused on bespoke residential projects, we design spaces that are an insightful, tailored and creative response to an individual brief. Address Unit F, Dales Brewery, Gwydir Street, Cambridge, CB1 2LJ Contact Jeremy Ashworth",12,5 - 19,[]
https://architectdirectory.co.uk/practice/asi-architects,Asi Architects,http://www.asi-architects.com/,[],john@asiarchitects.net,"51 Clarendon Street, BT48 7ER",John Quinn,"Profile tbc Address 51 Clarendon Street, BT48 7ER Contact John Quinn",29,0 - 4,[]
https://architectdirectory.co.uk/practice/askew-cavanna-architects,Askew Cavanna Architects,https://www.askewarchitects.co.uk/,[],studio@askewarchitects.co.uk,"14 Blackfields Lane, Bristol, BS2 8QW",Christopher Askew,"It seems obvious, but we really do care about the architecture that we create and the buildings we work on. When asked what kinds of buildings we 'do', we instead talk about the type of people that we work with. We practice an architecture of 'appropriateness', based on an understanding of the needs of the Client grown from building personal face-to-face relationships. Address 14 Blackfields Lane, Bristol, BS2 8QW Contact Christopher Askew",9,5 - 19,[]
